mode,unit_or_version,feature,importance
duo,team_full,walkDistance_max,0.7219792736742061
duo,team_full,totalDistance_max,0.04506906372600708
duo,team_full,boosts_sum,0.030184828300399674
duo,team_full,maxPlace,0.01990242511375757
duo,team_full,boosts_mean,0.0183875471552445
duo,team_full,boosts_max,0.01584309808188165
duo,team_full,damageDealt_max,0.015106155991374482
duo,team_full,walkDistance_mean,0.01325065221190229
duo,team_full,damageDealt_sum,0.011189153983760502
duo,team_full,damageDealt_mean,0.01079673964057581
duo,team_full,kills_sum,0.009504788431320858
duo,team_full,swimDistance_mean,0.00864640284734499
duo,team_full,rideDistance_std,0.00800256656854703
duo,team_full,swimDistance_max,0.007638878695042952
duo,team_full,longestKill_mean,0.005083438029638834
duo,team_full,weaponsAcquired_mean,0.004904884766578742
duo,team_full,supportActions_mean,0.004308675071421884
duo,team_full,longestKill_max,0.003661402248821553
duo,team_full,totalDistance_mean,0.0035557218824087203
duo,team_full,kills_mean,0.003011576673785866
duo,team_full,teamKills_sum,0.0026550108828786285
duo,team_full,walkDistance_sum,0.0025088669907314945
duo,team_full,rideDistance_mean,0.002344769493510682
duo,team_full,DBNOs_sum,0.002337229558084136
duo,team_full,numGroups,0.0020545645264624275
duo,team_full,swimDistance_sum,0.0019671575520528828
duo,team_full,perspectiveIndex,0.001959757822380433
duo,team_full,boostHealRatio_mean,0.0019352156243470436
duo,team_full,totalDistance_std,0.0016131733221191606
duo,team_full,assists_sum,0.0014471343397381416
duo,team_full,topBoostShare,0.0014072377651618707
duo,team_full,rideDistance_max,0.0013626402122846925
duo,team_full,weaponsAcquired_max,0.0013272321137664008
duo,team_full,totalDistance_sum,0.0012189515640210957
duo,team_full,DBNOs_mean,0.0011814439339452407
duo,team_full,teamKills_mean,0.0011041582988339175
duo,team_full,boosts_std,0.0010627246145240154
duo,team_full,supportActions_sum,0.0010011656171824684
duo,team_full,combatContribution_sum,0.000992689613187784
duo,team_full,rideDistance_sum,0.000863491839814259
duo,team_full,kills_max,0.0007001461665701767
duo,team_full,healsAndBoosts_mean,0.0006394955806631362
duo,team_full,weaponsAcquired_sum,0.0006082608561158054
duo,team_full,topWalkShare,0.0005798686169575337
duo,team_full,DBNOs_max,0.0005232822756609099
duo,team_full,walkDistance_std,0.0004352129179318719
duo,team_full,damagePerKill_mean,0.00040070091588701405
duo,team_full,heals_sum,0.0003708354992153802
duo,team_full,topDamageShare,0.0003556832264076136
duo,team_full,assists_mean,0.00033025634759839464
duo,team_full,combatContribution_mean,0.00027392841331591665
duo,team_full,killEfficiency_mean,0.0002640902838964895
duo,team_full,revives_mean,0.00024892168366038523
duo,team_full,damageDealt_std,0.000246632720456081
duo,team_full,heals_mean,0.00023362851096517874
duo,team_full,healsAndBoosts_sum,0.00022459134649989825
duo,team_full,kills_std,0.00019626003194707372
duo,team_full,DBNOs_std,0.00012595240081703156
duo,team_full,vehicleDestroys_sum,0.00012030861180846653
duo,team_full,weaponsAcquired_std,0.00011629937345085027
duo,team_full,heals_std,0.0001071549238910558
duo,team_full,roadKills_sum,0.00010279060375053544
duo,team_full,heals_max,0.00010022195202261814
duo,team_full,revives_max,7.787623096452897e-05
duo,team_full,killStreaks_sum,6.549025554364222e-05
duo,team_full,topKillShare,5.7922089067947684e-05
duo,team_full,killStreaks_max,3.901518803588308e-05
duo,team_full,headshotRate_mean,2.820464639263702e-05
duo,team_full,killStreaks_mean,1.922281252349093e-05
duo,team_full,assists_std,1.2062226386475607e-05
duo,team_full,revives_std,1.1272091301197686e-05
duo,team_full,headshotKills_mean,9.810821210692558e-06
duo,team_full,groupSize,2.711600036490719e-06
duo,team_full,revives_sum,0.0
duo,team_full,headshotKills_sum,0.0
duo,team_full,fillRatio,0.0
duo,team_full,isFullTeam,0.0
duo,team_full,roadKills_mean,0.0
duo,team_full,vehicleDestroys_mean,0.0
duo,team_full,headshotKills_max,0.0
duo,team_full,assists_max,0.0
