feature,importance
walkDistance,0.8003490369952937
boosts,0.02711631450820362
perspectiveIndex,0.026357923339381275
numGroups,0.02469462640075463
totalDistance,0.02455695850173767
weaponsAcquired,0.019210012609092265
combatContribution,0.011961482694567194
walkRatio,0.010427348113074776
healsAndBoosts,0.009357689691476625
longestKill,0.008914538315237792
damageDealt,0.008539017036072277
swimDistance,0.006070515525557133
maxPlace,0.005147963175933267
rideDistance,0.004279953450496096
rideRatio,0.003032087538251598
teamKills,0.002882454055620425
swimRatio,0.0027706466463399354
damagePerKill,0.0015376098889008025
assists,0.0007323159474920939
boostHealRatio,0.0005973162437005192
killEfficiency,0.0003846794802331696
heals,0.0003439057433321417
killStreaks,0.0003206363608073119
hasBoosts,0.00019644733318277142
kills,0.00019493094244124668
hasHeals,1.7784090047195094e-05
headshotRate,5.117819684296723e-06
headshotKills,6.875530880742476e-07
DBNOs,0.0
vehicleDestroys,0.0
roadKills,0.0
revives,0.0
supportActions,0.0
